Id,nNodes,nCustomers,nVehicles,testType,customers,vehicles
58,20,10,9,0.10,547824,490489
58,20,10,9,0.20,547824,490489
58,20,10,9,0.50,547824,490489
59,20,10,9,Exact,286108,679326
59,20,10,9,0.10,286108,679326
59,20,10,9,0.20,286108,679326
59,20,10,9,0.50,286108,679326
60,20,10,9,Exact,760873,1031927
60,20,10,9,0.10,760873,1031927
60,20,10,9,0.20,760873,1031927
60,20,10,9,0.50,760873,1031927
61,20,10,9,Exact,951209,500713
61,20,10,9,0.10,951209,500713
61,20,10,9,0.20,951209,500713
61,20,10,9,0.50,951209,500713
62,20,15,9,Exact,905143,286371
62,20,15,9,0.10,905143,286371
62,20,15,9,0.20,905143,286371
62,20,15,9,0.50,905143,286371
63,20,15,9,Exact,950183,748677
63,20,15,9,0.10,950183,748677
63,20,15,9,0.20,950183,748677
63,20,15,9,0.50,950183,748677
64,20,15,9,Exact,900078,970426
64,20,15,9,0.10,900078,970426
64,20,15,9,0.20,900078,970426
64,20,15,9,0.50,900078,970426
65,20,10,9,Exact,754779,1025087
65,20,10,9,0.10,754779,1025087
65,20,10,9,0.20,754779,1025087
65,20,10,9,0.50,754779,1025087
66,20,15,9,Exact,224255,359217
66,20,15,9,0.10,224255,359217
66,20,15,9,0.20,224255,359217
66,20,15,9,0.50,224255,359217
67,20,10,9,Exact,249949,1007613
67,20,10,9,0.10,249949,1007613
67,20,10,9,0.20,249949,1007613
67,20,10,9,0.50,249949,1007613
68,20,15,9,Exact,720123,225081
68,20,15,9,0.10,720123,225081
68,20,15,9,0.20,720123,225081
68,20,15,9,0.50,720123,225081
69,20,10,9,Exact,485312,458723
69,20,10,9,0.10,485312,458723
69,20,10,9,0.20,485312,458723
69,20,10,9,0.50,485312,458723
70,20,15,9,Exact,774077,115678
70,20,15,9,0.10,774077,115678
70,20,15,9,0.20,774077,115678
70,20,15,9,0.50,774077,115678
71,20,15,9,Exact,507373,293995
71,20,15,9,0.10,507373,293995
71,20,15,9,0.20,507373,293995
71,20,15,9,0.50,507373,293995
72,20,15,9,Exact,1044733,692700
72,20,15,9,0.10,1044733,692700
72,20,15,9,0.20,1044733,692700
72,20,15,9,0.50,1044733,692700
73,20,15,9,Exact,972279,580699
73,20,15,9,0.10,972279,580699
73,20,15,9,0.20,972279,580699
73,20,15,9,0.50,972279,580699
74,20,10,9,Exact,498978,1047658
74,20,10,9,0.10,498978,1047658
74,20,10,9,0.20,498978,1047658
74,20,10,9,0.50,498978,1047658
75,20,10,9,Exact,607134,713630
75,20,10,9,0.10,607134,713630
75,20,10,9,0.20,607134,713630
75,20,10,9,0.50,607134,713630
76,20,15,9,Exact,900925,352216
76,20,15,9,0.10,900925,352216
76,20,15,9,0.20,900925,352216
76,20,15,9,0.50,900925,352216
77,20,15,9,Exact,1006431,486132
77,20,15,9,0.10,1006431,486132
77,20,15,9,0.20,1006431,486132
77,20,15,9,0.50,1006431,486132
78,20,9,9,Exact,369332,373492
78,20,9,9,0.10,369332,373492
78,20,9,9,0.20,369332,373492
78,20,9,9,0.50,369332,373492
79,20,15,9,Exact,946142,222447
79,20,15,9,0.10,946142,222447
79,20,15,9,0.20,946142,222447
79,20,15,9,0.50,946142,222447
81,20,10,9,Exact,805455,858991
81,20,10,9,0.10,805455,858991
81,20,10,9,0.20,805455,858991
81,20,10,9,0.50,805455,858991
82,20,10,9,Exact,469956,1026556
82,20,10,9,0.10,469956,1026556
82,20,10,9,0.20,469956,1026556
82,20,10,9,0.50,469956,1026556
83,20,10,9,Exact,472290,489193
83,20,10,9,0.10,472290,489193
83,20,10,9,0.20,472290,489193
83,20,10,9,0.50,472290,489193
84,20,10,9,Exact,371384,912029
84,20,10,9,0.10,371384,912029
84,20,10,9,0.20,371384,912029
84,20,10,9,0.50,371384,912029
85,20,10,9,Exact,208474,737227
85,20,10,9,0.10,208474,737227
85,20,10,9,0.20,208474,737227
85,20,10,9,0.50,208474,737227
86,20,9,9,Exact,157013,753535
86,20,9,9,0.10,157013,753535
86,20,9,9,0.20,157013,753535
86,20,9,9,0.50,157013,753535
87,20,9,9,Exact,379180,917502
87,20,9,9,0.10,379180,917502
87,20,9,9,0.20,379180,917502
87,20,9,9,0.50,379180,917502
88,20,9,9,Exact,232617,515775
88,20,9,9,0.10,232617,515775
88,20,9,9,0.20,232617,515775
88,20,9,9,0.50,232617,515775
89,20,9,9,Exact,530278,882550
89,20,9,9,0.10,530278,882550
89,20,9,9,0.20,530278,882550
89,20,9,9,0.50,530278,882550
90,20,9,9,Exact,438442,521663
90,20,9,9,0.10,438442,521663
90,20,9,9,0.20,438442,521663
90,20,9,9,0.50,438442,521663
91,20,9,9,Exact,159299,454243
91,20,9,9,0.10,159299,454243
91,20,9,9,0.20,159299,454243
91,20,9,9,0.50,159299,454243
92,20,9,9,Exact,539285,933847
92,20,9,9,0.10,539285,933847
92,20,9,9,0.20,539285,933847
92,20,9,9,0.50,539285,933847
93,20,9,9,Exact,710802,712690
93,20,9,9,0.10,710802,712690
93,20,9,9,0.20,710802,712690
93,20,9,9,0.50,710802,712690
94,20,9,9,Exact,24331,753547
94,20,9,9,0.10,24331,753547
94,20,9,9,0.20,24331,753547
94,20,9,9,0.50,24331,753547
95,20,9,9,Exact,96006,1046351
95,20,9,9,0.10,96006,1046351
95,20,9,9,0.20,96006,1046351
95,20,9,9,0.50,96006,1046351
96,20,9,9,Exact,665313,933601
96,20,9,9,0.10,665313,933601
96,20,9,9,0.20,665313,933601
96,20,9,9,0.50,665313,933601
97,20,9,9,Exact,976906,1044286
97,20,9,9,0.10,976906,1044286
97,20,9,9,0.20,976906,1044286
97,20,9,9,0.50,976906,1044286
98,20,9,9,Exact,637128,1031624
98,20,9,9,0.10,637128,1031624
98,20,9,9,0.20,637128,1031624
98,20,9,9,0.50,637128,1031624
99,20,9,9,Exact,339652,376517
99,20,9,9,0.10,339652,376517
99,20,9,9,0.20,339652,376517
99,20,9,9,0.50,339652,376517
100,20,9,9,Exact,269800,442346
100,20,9,9,0.10,269800,442346
100,20,9,9,0.20,269800,442346
100,20,9,9,0.50,269800,442346
101,20,20,9,Exact,1048575,404690
101,20,20,9,0.10,1048575,404690
101,20,20,9,0.20,1048575,404690
101,20,20,9,0.50,1048575,404690
102,20,20,9,Exact,1048575,210505
102,20,20,9,0.10,1048575,210505
102,20,20,9,0.20,1048575,210505
102,20,20,9,0.50,1048575,210505
103,20,20,9,Exact,1048575,860997
103,20,20,9,0.10,1048575,860997
103,20,20,9,0.20,1048575,860997
103,20,20,9,0.50,1048575,860997
104,20,20,9,Exact,1048575,182669
104,20,20,9,0.10,1048575,182669
104,20,20,9,0.20,1048575,182669
104,20,20,9,0.50,1048575,182669
105,20,20,9,Exact,1048575,399817
105,20,20,9,0.10,1048575,399817
105,20,20,9,0.20,1048575,399817
105,20,20,9,0.50,1048575,399817
106,20,20,9,Exact,1048575,683120
106,20,20,9,0.10,1048575,683120
106,20,20,9,0.20,1048575,683120
106,20,20,9,0.50,1048575,683120
107,20,20,9,Exact,1048575,144167
107,20,20,9,0.10,1048575,144167
107,20,20,9,0.20,1048575,144167
107,20,20,9,0.50,1048575,144167
108,20,20,9,Exact,1048575,322636
108,20,20,9,0.10,1048575,322636
108,20,20,9,0.20,1048575,322636
108,20,20,9,0.50,1048575,322636
109,20,20,9,Exact,1048575,363124
109,20,20,9,0.10,1048575,363124
109,20,20,9,0.20,1048575,363124
109,20,20,9,0.50,1048575,363124
110,20,20,9,Exact,1048575,317313
110,20,20,9,0.10,1048575,317313
110,20,20,9,0.20,1048575,317313
110,20,20,9,0.50,1048575,317313
111,20,20,9,Exact,1048575,709217
111,20,20,9,0.10,1048575,709217
111,20,20,9,0.20,1048575,709217
111,20,20,9,0.50,1048575,709217
112,20,20,9,Exact,1048575,533911
112,20,20,9,0.10,1048575,533911
112,20,20,9,0.20,1048575,533911
112,20,20,9,0.50,1048575,533911
113,20,20,9,Exact,1048575,746692
113,20,20,9,0.10,1048575,746692
113,20,20,9,0.20,1048575,746692
113,20,20,9,0.50,1048575,746692
114,20,20,9,Exact,1048575,342293
114,20,20,9,0.10,1048575,342293
114,20,20,9,0.20,1048575,342293
114,20,20,9,0.50,1048575,342293
115,20,20,9,Exact,1048575,78622
115,20,20,9,0.10,1048575,78622
115,20,20,9,0.20,1048575,78622
115,20,20,9,0.50,1048575,78622
116,20,20,9,Exact,1048575,315989
116,20,20,9,0.10,1048575,315989
116,20,20,9,0.20,1048575,315989
116,20,20,9,0.50,1048575,315989
117,20,20,9,Exact,1048575,530781
117,20,20,9,0.10,1048575,530781
117,20,20,9,0.20,1048575,530781
117,20,20,9,0.50,1048575,530781
118,20,20,9,Exact,1048575,50606
118,20,20,9,0.10,1048575,50606
118,20,20,9,0.20,1048575,50606
118,20,20,9,0.50,1048575,50606
119,20,20,9,Exact,1048575,401344
119,20,20,9,0.10,1048575,401344
119,20,20,9,0.20,1048575,401344
119,20,20,9,0.50,1048575,401344
120,20,20,9,Exact,1048575,16163
120,20,20,9,0.10,1048575,16163
120,20,20,9,0.20,1048575,16163
120,20,20,9,0.50,1048575,16163
