ID,TestID,customerQty,vehicleQty,fixCost,capacityRange,processTimeRange,dueDateRange,penaltyRange,edgeWeightRange,Cost,Time,Iterations,ChromosomeQty
24,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],75.00,0.36,1001,320240
25,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],75.00,0.36,1001,320566
26,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],75.00,0.36,1001,320458
27,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],75.00,0.36,1001,319936
28,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],75.00,0.36,1001,320526
29,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],75.00,0.36,1001,320554
30,3,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],40.00,0.42,1001,319936
31,3,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],40.00,0.42,1001,320364
32,3,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],40.00,0.42,1001,320622
33,3,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],40.00,0.42,1001,320416
34,3,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],40.00,0.42,1001,320428
35,3,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],40.00,0.42,1001,319946
36,3,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],39.00,0.42,1001,320050
37,3,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],40.00,0.42,1001,320408
38,3,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],40.00,0.42,1001,320582
39,3,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],40.00,0.42,1001,320518
40,4,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.35,1001,320650
41,4,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.36,1001,320424
42,4,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.35,1001,320654
43,4,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.35,1001,320548
44,4,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.35,1001,320386
45,4,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.36,1001,320698
46,4,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.35,1001,320722
47,4,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.36,1001,320392
48,4,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.36,1001,320662
49,4,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.35,1001,320914
50,5,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],119.00,0.42,1001,320664
51,5,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],119.00,0.42,1001,320692
52,5,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],119.00,0.42,1001,320720
53,5,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],119.00,0.42,1001,320588
54,5,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],119.00,0.43,1001,320596
55,5,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],119.00,0.42,1001,320820
56,5,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],119.00,0.42,1001,320234
57,5,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],119.00,0.42,1001,320274
58,5,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],119.00,0.42,1001,320712
